time_bucket,bid_px_00_first,bid_px_00_last,ask_px_00_first,ask_px_00_last,OF1_b_sum,OF1_a_sum,OF2_b_sum,OF2_a_sum,OF3_b_sum,OF3_a_sum,OF4_b_sum,OF4_a_sum,OF5_b_sum,OF5_a_sum,OF6_b_sum,OF6_a_sum,OF7_b_sum,OF7_a_sum,mid_price_start,mid_price_end,return,OFI1,OFI2,OFI3,OFI4,OFI5,OFI6,OFI7,event_count,OFI1_normalized,OFI2_normalized,OFI3_normalized,OFI4_normalized,OFI5_normalized,OFI6_normalized,OFI7_normalized,symbol,OFI_integrated
2024-10-21 11:54:15,233.67,233.67,233.74,233.74,144.0,200.0,410.0,1.0,210.0,8.0,28.0,150.0,15.0,29.0,110.0,25.0,10.0,200.0,233.70499999999998,233.70499999999998,0.0,-56.0,409.0,202.0,-122.0,-14.0,85.0,-190.0,6,-9.333333333333334,68.16666666666667,33.666666666666664,-20.333333333333332,-2.3333333333333335,14.166666666666666,-31.666666666666668,AAPL,-0.21080923978288715
2024-10-21 11:54:30,233.67,233.7,233.74,233.74,0.0,401.0,139.0,9.0,400.0,158.0,10.0,179.0,28.0,54.0,15.0,225.0,110.0,600.0,233.70499999999998,233.72,6.418347917258593e-05,-401.0,130.0,242.0,-169.0,-26.0,-210.0,-490.0,10,-40.1,13.0,24.2,-16.9,-2.6,-21.0,-49.0,AAPL,-0.4592687002241501
2024-10-21 11:54:45,233.7,233.67,233.74,233.74,141.0,0.0,800.0,200.0,10.0,0.0,70.0,29.0,140.0,25.0,230.0,400.0,130.0,244.0,233.72,233.70499999999998,-6.417935991787083e-05,141.0,600.0,10.0,41.0,115.0,-170.0,-114.0,11,12.818181818181818,54.54545454545455,0.9090909090909091,3.727272727272727,10.454545454545455,-15.454545454545455,-10.363636363636363,AAPL,-0.2099136576478292
2024-10-21 11:55:00,233.67,233.67,233.74,233.74,0.0,0.0,810.0,0.0,37.0,27.0,42.0,-29.0,125.0,0.0,120.0,0.0,120.0,0.0,233.70499999999998,233.70499999999998,0.0,0.0,810.0,10.0,71.0,125.0,120.0,120.0,5,0.0,162.0,2.0,14.2,25.0,24.0,24.0,AAPL,0.14301451564044207
2024-10-21 11:55:15,233.67,233.67,233.74,233.73,0.0,200.0,400.0,0.0,0.0,0.0,42.0,0.0,125.0,0.0,120.0,0.0,120.0,0.0,233.70499999999998,233.7,-2.1394493057491637e-05,-200.0,400.0,0.0,42.0,125.0,120.0,120.0,4,-50.0,100.0,0.0,10.5,31.25,30.0,30.0,AAPL,0.03781447693211444
2024-10-21 11:55:30,233.67,233.55,233.73,233.74,717.0,601.0,1311.0,209.0,766.0,131.0,447.0,177.0,730.0,79.0,610.0,250.0,800.0,444.0,233.7,233.645,-0.00023534445870765364,116.0,1102.0,635.0,270.0,651.0,360.0,356.0,22,5.2727272727272725,50.09090909090909,28.863636363636363,12.272727272727273,29.59090909090909,16.363636363636363,16.181818181818183,AAPL,0.007771168255082094
2024-10-21 11:55:45,233.55,233.56,233.73,233.75,38.0,701.0,210.0,617.0,1445.0,517.0,375.0,358.0,360.0,279.0,360.0,504.0,630.0,739.0,233.64,233.655,6.420133538775907e-05,-663.0,-407.0,928.0,17.0,81.0,-144.0,-109.0,18,-36.833333333333336,-22.61111111111111,51.55555555555556,0.9444444444444444,4.5,-8.0,-6.055555555555555,AAPL,-0.29437954513481174
2024-10-21 11:56:00,233.56,233.57,233.75,233.75,36.0,-200.0,410.0,0.0,615.0,200.0,125.0,0.0,120.0,0.0,120.0,0.0,210.0,0.0,233.655,233.66,2.1399071280292503e-05,236.0,410.0,415.0,125.0,120.0,120.0,210.0,9,26.22222222222222,45.55555555555556,46.111111111111114,13.88888888888889,13.333333333333334,13.333333333333334,23.333333333333332,AAPL,0.024272967128608963
2024-10-21 11:56:15,233.57,233.58,233.75,233.75,37.0,0.0,210.0,200.0,1230.0,-200.0,250.0,0.0,240.0,458.0,240.0,488.0,420.0,394.0,233.66,233.66500000000002,2.139861336991622e-05,37.0,10.0,1430.0,250.0,-218.0,-248.0,26.0,15,2.466666666666667,0.6666666666666666,95.33333333333333,16.666666666666668,-14.533333333333333,-16.533333333333335,1.7333333333333334,AAPL,-0.18616774290277888
2024-10-21 11:56:30,233.58,233.58,233.75,233.75,0.0,301.0,0.0,409.0,200.0,358.0,0.0,175.0,0.0,55.0,0.0,230.0,0.0,244.0,233.66500000000002,233.66500000000002,0.0,-301.0,-409.0,-158.0,-175.0,-55.0,-230.0,-244.0,6,-50.166666666666664,-68.16666666666667,-26.333333333333332,-29.166666666666668,-9.166666666666666,-38.333333333333336,-40.666666666666664,AAPL,-0.6965651906438659
2024-10-21 11:56:45,233.58,233.58,233.75,233.75,0.0,0.0,0.0,-200.0,200.0,200.0,0.0,225.0,0.0,55.0,0.0,230.0,0.0,244.0,233.66500000000002,233.66500000000002,0.0,0.0,200.0,0.0,-225.0,-55.0,-230.0,-244.0,6,0.0,33.333333333333336,0.0,-37.5,-9.166666666666666,-38.333333333333336,-40.666666666666664,AAPL,-0.48495861752118835
2024-10-21 11:57:00,233.58,233.67,233.72,233.75,1.0,301.0,66.0,209.0,420.0,358.0,815.0,375.0,140.0,55.0,230.0,230.0,130.0,244.0,233.65,233.70999999999998,0.0002567943505242809,-300.0,-143.0,62.0,440.0,85.0,0.0,-114.0,10,-30.0,-14.3,6.2,44.0,8.5,0.0,-11.4,AAPL,-0.2513451001605457
2024-10-21 11:57:15,233.67,233.54,233.75,233.72,420.0,63.0,1511.0,422.0,553.0,417.0,632.0,1133.0,595.0,255.0,490.0,315.0,860.0,674.0,233.70999999999998,233.63,-0.0003423045654871171,357.0,1089.0,136.0,-501.0,340.0,175.0,186.0,37,9.64864864864865,29.43243243243243,3.675675675675676,-13.54054054054054,9.18918918918919,4.72972972972973,5.027027027027027,AAPL,-0.18146898061386715
2024-10-21 11:57:30,233.54,233.65,233.72,233.74,1.0,500.0,610.0,701.0,862.0,209.0,150.0,158.0,390.0,575.0,470.0,80.0,370.0,260.0,233.63,233.695,0.0002782176946454218,-499.0,-91.0,653.0,-8.0,-185.0,390.0,110.0,20,-24.95,-4.55,32.65,-0.4,-9.25,19.5,5.5,AAPL,-0.21187749967743158
2024-10-21 11:57:45,233.65,233.65,233.74,233.74,0.0,0.0,0.0,0.0,200.0,0.0,44.0,0.0,125.0,850.0,120.0,337.0,120.0,930.0,233.695,233.695,0.0,0.0,0.0,200.0,44.0,-725.0,-217.0,-810.0,17,0.0,0.0,11.764705882352942,2.588235294117647,-42.64705882352941,-12.764705882352942,-47.64705882352941,AAPL,-0.4751709921110982
2024-10-21 11:58:00,233.65,233.65,233.74,233.74,0.0,0.0,0.0,0.0,429.0,0.0,44.0,200.0,125.0,25.0,120.0,58.0,120.0,429.0,233.695,233.695,0.0,0.0,0.0,429.0,-156.0,100.0,62.0,-309.0,11,0.0,0.0,39.0,-14.181818181818182,9.090909090909092,5.636363636363637,-28.09090909090909,AAPL,-0.2616155384615628
2024-10-21 11:58:15,233.65,233.65,233.74,233.74,0.0,-65.0,200.0,0.0,210.0,0.0,0.0,-200.0,0.0,225.0,0.0,1308.0,0.0,739.0,233.695,233.695,0.0,65.0,200.0,210.0,200.0,-225.0,-1308.0,-739.0,16,4.0625,12.5,13.125,12.5,-14.0625,-81.75,-46.1875,AAPL,-0.5573014553705704
2024-10-21 11:58:30,233.65,233.65,233.74,233.74,0.0,0.0,200.0,0.0,0.0,0.0,41.0,0.0,125.0,0.0,120.0,227.0,120.0,227.0,233.695,233.695,0.0,0.0,200.0,0.0,41.0,125.0,-107.0,-107.0,6,0.0,33.333333333333336,0.0,6.833333333333333,20.833333333333332,-17.833333333333332,-17.833333333333332,AAPL,-0.2504393054767583
2024-10-21 11:58:45,233.65,233.65,233.74,233.77,380.0,168.0,1820.0,158.0,2043.0,175.0,1886.0,679.0,1528.0,1535.0,1365.0,1569.0,1084.0,1128.0,233.695,233.71,6.4186225636087e-05,212.0,1662.0,1868.0,1207.0,-7.0,-204.0,-44.0,57,3.719298245614035,29.157894736842106,32.771929824561404,21.17543859649123,-0.12280701754385964,-3.5789473684210527,-0.7719298245614035,AAPL,-0.15865116961164877
2024-10-21 11:59:00,233.65,233.65,233.77,233.77,0.0,0.0,1200.0,0.0,487.0,0.0,75.0,1454.0,375.0,454.0,360.0,488.0,360.0,396.0,233.71,233.71,0.0,0.0,1200.0,487.0,-1379.0,-79.0,-128.0,-36.0,23,0.0,52.17391304347826,21.17391304347826,-59.95652173913044,-3.4347826086956523,-5.565217391304348,-1.565217391304348,AAPL,-0.278795419864772
2024-10-21 11:59:15,233.65,233.65,233.77,233.77,0.0,0.0,854.0,0.0,74.0,0.0,50.0,1427.0,250.0,255.0,240.0,471.0,240.0,442.0,233.71,233.71,0.0,0.0,854.0,74.0,-1377.0,-5.0,-231.0,-202.0,17,0.0,50.23529411764706,4.352941176470588,-81.0,-0.29411764705882354,-13.588235294117647,-11.882352941176471,AAPL,-0.3702528903753318
2024-10-21 11:59:30,233.65,233.65,233.77,233.78,226.0,150.0,726.0,25.0,679.0,200.0,502.0,28.0,314.0,200.0,312.0,44.0,390.0,154.0,233.71,233.715,2.1394035342847673e-05,76.0,701.0,479.0,474.0,114.0,268.0,236.0,17,4.470588235294118,41.23529411764706,28.176470588235293,27.88235294117647,6.705882352941177,15.764705882352942,13.882352941176471,AAPL,-0.03881278259987682
2024-10-21 11:59:45,233.65,233.65,233.78,233.78,0.0,0.0,654.0,0.0,74.0,428.0,50.0,681.0,250.0,732.0,240.0,594.0,240.0,1662.0,233.715,233.715,0.0,0.0,654.0,-354.0,-631.0,-482.0,-354.0,-1422.0,12,0.0,54.5,-29.5,-52.583333333333336,-40.166666666666664,-29.5,-118.5,AAPL,-0.7354275153770139
2024-10-21 12:00:00,233.65,233.53,233.78,233.78,10.0,169.0,2733.0,344.0,1274.0,1000.0,1294.0,1304.0,1350.0,1140.0,1410.0,866.0,1715.0,1550.0,233.715,233.655,-0.0002567229317759212,-159.0,2389.0,274.0,-10.0,210.0,544.0,165.0,49,-3.2448979591836733,48.755102040816325,5.591836734693878,-0.20408163265306123,4.285714285714286,11.10204081632653,3.36734693877551,AAPL,-0.14815200387637537
2024-10-21 12:00:15,233.53,233.53,233.78,233.78,0.0,0.0,-200.0,0.0,597.0,400.0,162.0,227.0,230.0,244.0,130.0,198.0,320.0,554.0,233.655,233.655,0.0,0.0,-200.0,197.0,-65.0,-14.0,-68.0,-234.0,13,0.0,-15.384615384615385,15.153846153846153,-5.0,-1.0769230769230769,-5.230769230769231,-18.0,AAPL,-0.3251788100457688
2024-10-21 12:00:30,233.53,233.53,233.78,233.78,0.0,0.0,0.0,400.0,790.0,657.0,533.0,444.0,370.0,242.0,560.0,708.0,675.0,801.0,233.655,233.655,0.0,0.0,-400.0,133.0,89.0,128.0,-148.0,-126.0,16,0.0,-25.0,8.3125,5.5625,8.0,-9.25,-7.875,AAPL,-0.29895149356801065
2024-10-21 12:00:45,233.58,233.58,233.78,233.74,500.0,1.0,10.0,150.0,1097.0,225.0,503.0,30.0,267.0,200.0,240.0,44.0,420.0,154.0,233.68,233.66000000000003,-8.558712769590748e-05,499.0,-140.0,872.0,473.0,67.0,196.0,266.0,16,31.1875,-8.75,54.5,29.5625,4.1875,12.25,16.625,AAPL,-0.044243253970970245
2024-10-21 12:01:00,233.58,233.59,233.74,233.74,1.0,0.0,500.0,200.0,2870.0,25.0,1197.0,684.0,1035.0,704.0,1007.0,686.0,1278.0,950.0,233.66000000000003,233.66500000000002,2.139861336991622e-05,1.0,300.0,2845.0,513.0,331.0,321.0,328.0,35,0.02857142857142857,8.571428571428571,81.28571428571429,14.657142857142857,9.457142857142857,9.17142857142857,9.371428571428572,AAPL,-0.06192844599429456
2024-10-21 12:01:30,233.59,233.59,233.74,233.74,0.0,401.0,0.0,179.0,0.0,409.0,800.0,531.0,83.0,741.0,417.0,840.0,470.0,1350.0,233.66500000000002,233.66500000000002,0.0,-401.0,-179.0,-409.0,269.0,-658.0,-423.0,-880.0,23,-17.434782608695652,-7.782608695652174,-17.782608695652176,11.695652173913043,-28.608695652173914,-18.391304347826086,-38.26086956521739,AAPL,-0.493080764756924
2024-10-21 12:01:45,233.6,233.6,233.74,233.74,602.0,0.0,1011.0,0.0,920.0,0.0,1051.0,0.0,325.0,0.0,582.0,0.0,605.0,0.0,233.67000000000002,233.67000000000002,0.0,602.0,1011.0,920.0,1051.0,325.0,582.0,605.0,10,60.2,101.1,92.0,105.1,32.5,58.2,60.5,AAPL,0.5693531717501159
2024-10-21 12:02:00,233.6,233.6,233.77,233.77,0.0,750.0,0.0,550.0,0.0,131.0,0.0,484.0,0.0,688.0,0.0,440.0,0.0,1262.0,233.685,233.685,0.0,-750.0,-550.0,-131.0,-484.0,-688.0,-440.0,-1262.0,5,-150.0,-110.0,-26.2,-96.8,-137.6,-88.0,-252.4,AAPL,-1.857384765082263
2024-10-21 12:02:15,233.6,233.6,233.78,233.78,0.0,150.0,0.0,425.0,0.0,53.0,400.0,257.0,0.0,473.0,110.0,442.0,10.0,752.0,233.69,233.69,0.0,-150.0,-425.0,-53.0,143.0,-473.0,-332.0,-742.0,7,-21.428571428571427,-60.714285714285715,-7.571428571428571,20.428571428571427,-67.57142857142857,-47.42857142857143,-106.0,AAPL,-0.8554481558296056
